Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg),Battery_life_hours,Price_EURO,CPU_score,GPU_score,RAM_score,PS,suitable_tasks,suitable_jobs,Description
HP,Stream 14-AX040wm,Notebook,14,1366x768,Intel,Celeron Dual Core N3060,1.6,4,32GB SSD,Intel,HD Graphics 400,Windows 10,1.44,9 ~ 10,229,660,450,4,1110.25,office_basic,teacher; student; office_admin,"Get connected with the HP Stream 14-AX040wm laptop, perfect for everyday tasks on a budget. With its compact 14-inch display and long-lasting battery life of up to 10 hours, stay productive anywhere. Ideal for students or casual users, this laptop also features a lightweight design and reliable performance from its Celeron processor."
Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel,Atom x5-Z8300,1.44,4,64GB Flash Storage,Intel,HD Graphics,Windows 10,1.89,6 ~ 7,244.99,840,299,4,1139.25,office_basic,teacher; office_worker; student; office_admin,"Meet the Chuwi LapBook 15.6"", a versatile laptop perfect for everyday tasks, reading, and browsing. With its vibrant Full HD display and efficient Atom x5-Z8300 processor, you'll enjoy smooth performance on the go. Ideal for students, travelers, or anyone who wants a reliable companion for basic computing needs."
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel,Atom x5-Z8350,1.44,2,32GB Flash Storage,Intel,HD Graphics 400,Windows 10,0.98,11 ~ 13,191.9,910,450,2,1360.125,office_basic,teacher; student; office_admin,"Here is a concise, friendly product description for the Asus Vivobook E200HA: Get portable productivity with the Asus Vivobook E200HA laptop! Weighing just 1.24kg, this slim and lightweight notebook is perfect for students and commuters who need to stay connected on-the-go. With up to 13 hours of battery life and a compact 11.6-inch display, you can work or study anywhere."
Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel,Atom x5-Z8550,1.44,4,64GB Flash Storage,Intel,HD Graphics 400,Android,0.69,8 ~ 10,319,1179,450,4,1629.25,office_basic,teacher; student; office_admin,"The Lenovo Yoga Book is a versatile and portable laptop perfect for everyday use. With its 10.1"" touchscreen display, you can easily navigate and create content on the go. Suitable for students and professionals who need a reliable device for basic tasks like word processing, browsing, and streaming."
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce),Notebook,17.3,1366x768,Intel,Pentium Quad Core N4200,1.1,4,1TB HDD,Nvidia,GeForce 920MX,Windows 10,2.8,3 ~ 4,466,724,1069,4,1793.25,"office_basic,office_admin, gaming_light",office_worker; student,"The Asus X751NV-TY001T laptop is a reliable choice for everyday use, featuring a spacious 17.3"" display perfect for multitasking. Powered by the Pentium Quad Core N4200 processor, it handles general tasks efficiently. The combination of a 1TB hard drive and dedicated GeForce 920MX graphics ensures smooth performance for basic gaming and multimedia needs."
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,AMD,Radeon 530,Windows 10,2.2,4 ~ 5,800,833,1030,8,1863.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Here is a concise, friendly product description for the Dell Inspiron 5570: ""Get the perfect blend of performance and portability with the Dell Inspiron 5570 laptop. Featuring an 8th Gen Core i5 processor, 8GB of RAM, and a Radeon 530 GPU, this laptop delivers smooth multitasking and graphics. Ideal for students, professionals, and anyone looking for a reliable everyday laptop."""
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,256GB SSD,AMD,Radeon R5 M430,Windows 10,2.2,2 ~ 3,498.9,1356,648,4,2004.25,office_basic,office_admin,"Here is a concise, friendly product description for the Dell Inspiron 3567: The Dell Inspiron 3567 is perfect for everyday tasks like browsing, emailing and streaming. With its vibrant 15.6"" Full HD display and powerful Core i3 processor, you'll enjoy smooth performance and great visuals. Ideal for students or anyone who needs a reliable laptop for basic computing tasks."
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,256GB SSD,AMD,Radeon R5 M430,Linux,2.2,4 ~ 5,485,1356,648,4,2004.25,office_basic,office_admin,"Here is a concise product description for the Dell Inspiron 3567: The Dell Inspiron 3567 is an affordable laptop perfect for everyday tasks like browsing, emailing, and streaming. With its vibrant 15.6"" Full HD display and powerful Core i3 processor, you'll enjoy smooth performance on any task. Ideal for students, professionals, and anyone who wants a reliable laptop that won't break the bank."
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel,Core i5,1.6,8,128GB Flash Storage,Intel,HD Graphics 6000,Mac OS X,1.35,11 ~ 12,1099,1340,849,8,2189.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"Here is a concise, friendly product description for the Apple MacBook Air: ""Get portable productivity with the Apple MacBook Air. This lightweight laptop features a vibrant 13.3"" display, powerful Core i5 processor, and ample 8GB of RAM to handle everyday tasks. Perfect for students, professionals on-the-go, and anyone who needs a reliable companion. Enjoy up to 12 hours of battery life."""
HP,250 G6,Notebook,15.6,1366x768,Intel,Core i3 6006U,2,4,500GB HDD,AMD,Radeon 520,Windows 10,1.86,6 ~ 7,438.69,1477,787,4,2264.25,office_basic; gaming_light,office_admin,"Meet the HP 250 G6, a reliable and affordable laptop perfect for everyday use. Equipped with a 15.6"" HD display, Intel Core i3 processor, and Radeon 520 graphics, this laptop handles browsing, office work, and streaming with ease. With 4GB of RAM and 500GB storage, you'll have plenty of space to store files and documents. Ideal for students, professionals, or anyone on a budget, the HP 250 G6 offers up to 7 hours of battery life for all-day productivity."
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7100U,2.4,6,256GB SSD,Nvidia,GeForce 920M,Windows 10,2,4 ~ 5,577,1569,717,6,2286.375,office_basic;gaming_light,office_admin,"Meet the Asus X541UV, a reliable laptop for everyday use. Powered by an Intel Core i3 processor, it delivers smooth performance for tasks like browsing, office work, and streaming. With 6GB of RAM and a 256GB SSD, you'll enjoy fast loading times and efficient storage. Ideal for students, home users, or anyone looking for a hassle-free laptop experience."
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 6006U,2,4,500GB HDD,Intel,HD Graphics 520,No OS,1.86,6 ~ 7,344.99,1477,831,4,2308.25,office_basic,office_admin,"The HP 250 G6 is a reliable and affordable laptop perfect for everyday tasks. Its 15.6"" Full HD display provides clear visuals, while the Core i3 processor delivers smooth performance. Ideal for students and professionals on a budget, this laptop also features around 6-7 hours of battery life."
Acer,Aspire E5-475,Notebook,14,1366x768,Intel,Core i3 6006U,2,8,1TB HDD,Intel,HD Graphics 520,Windows 10,2.1,1.5 ~ 2,389,1566,831,8,2397.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The Acer Aspire E5-475 is a reliable laptop perfect for everyday tasks. With an Intel Core i3 processor, 8GB of RAM, and 1TB of storage, you'll have plenty of space to work, study, or browse the web. Its compact 14-inch display makes it ideal for students, freelancers, or anyone who needs a portable computer for basic computing."
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD,Intel,UHD Graphics 620,Windows 10,1.22,9 ~ 10,979,1618,1030,8,2648.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"The Dell XPS 13 is a slim and powerful laptop perfect for everyday use. With its stunning 13.3"" Full HD touchscreen display, you'll enjoy crisp visuals and intuitive navigation. Equipped with an Intel Core i5 processor, 8GB of RAM, and fast SSD storage, this laptop excels at multitasking and running demanding apps. Ideal for students and professionals on-the-go."
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i3 7100U,2.4,4,1TB HDD,Intel,HD Graphics 620,Windows 10,2.4,5 ~ 6,384,1783,935,4,2718.25,office_basic,office_admin,"Here is a concise and friendly product description for the Acer Aspire 3 laptop: The Acer Aspire 3 is a reliable and affordable laptop perfect for everyday use. With its 15.6"" display, you can enjoy your favorite movies and shows in comfort. Powered by an Intel Core i3 processor and 4GB of RAM, it handles tasks like browsing, emailing, and word processing with ease."
